Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score,Genre Categories,Subject Categories,Location Categories
1,38,The Great Gatsby,F. Scott Fitzgerald,1925,American,English,47-180,47000,1,7292,"Drama, Fiction, Literary Fiction, Modernist, Social & Cultural Fiction, Tragedy","American dream, History, Identity, Illusion, Love, Wealth, class, loneliness, morality","Long Island, New York, United States"
2,122,Ulysses,James Joyce,1922,Irish,English,730-1000,265222,2,7067,"Experimental, Fiction, Literary Fiction, Modernist, Picaresque, Postmodern, Social & Cultural Fiction, philosophical","Alienation, Consciousness, Family, Friendship, Identity, Mortality, Sexuality, Time","Dublin, Ireland"
3,225,In Search of Lost Time,Marcel Proust,1913,French,French,3000-4300,1200000,3,6957,"Allegorical, Fiction, Literary Fiction, Modernist, Mythological, Postmodern, Social & Cultural Fiction, philosophical","Family, Friendship, Illness, Jealousy, Lgbtq+, Love, Memory, Society, Time, relationships, stream of consciousness","France, Paris"
4,266,One Hundred Years of Solitude,Gabriel García Márquez,1967,Colombian,Spanish,300-500,144000,4,6396,"Dark, Fiction, Literary Fiction, Magical Realism, Sagas, Social & Cultural Fiction","Family, Family dynamics, Fate, History, Memory, Power, Solitude, Time",Fictional Location
5,19,The Catcher in the Rye,J. D. Salinger,1951,American,English,220-277,73440,5,6353,"Coming of age, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction, Young adult","Adolescence, Alienation, Family, Identity, Innocence, Phoniness, depression, isolation, rebellion","New England, New York, New York City, Pennsylvania, United States"
6,64,Nineteen Eighty Four,George Orwell,1949,British,English,300-400,88942,6,5918,"Dystopian, Fiction, Political, Satire, Science fiction, Speculative Fiction","Control, Freedom, Identity, Language & Writing, Political Ideologies, Propaganda, fear, rebellion, surveillance","England, Fictional Location, Great Britain, London"
7,50,Lolita,Vladimir Nabokov,1955,American,English,300-400,112473,7,5686,"Absurdist, Allegorical, Banned books, Fiction, Literary Fiction, Postmodern, Psychological","Desire, Guilt, Identity, Innocence, Manipulation, Obsession, Power Dynamics, morality","Massachusetts, New Hampshire, United States"
8,208,Moby-Dick,Herman Melville,1851,American,English,600-700,212000,8,5633,"Adventure, Fiction, Historical fiction, Literary Fiction, Sailors & The Sea, philosophical","Fate, Friendship, Identity, Madness, Mortality, Nature, Obsession, Revenge, isolation","Atlantic Ocean, Massachusetts, Nantucket, United States"
9,52,The Lord of the Rings,J. R. R. Tolkien,1954,British,English,1000-1500,506325,9,5561,"Adventure, Fantasy, Fiction, High Fantasy, Historical fiction, Speculative Fiction, epic","Courage, Despair, Destiny, Friendship, Good vs Evil, Hope, Loyalty, Nature, Power, Sacrifice, corruption",Fictional Location
10,213,Anna Karenina,Leo Tolstoy,1877,Russian,Russian,800-1000,349000,10,5374,"Drama, Family & Relationships, Fiction, Historical fiction, Literary Fiction, Tragedy, philosophical","Family, Family dynamics, Identity, Infidelity, Love, Marriage, Society, Sociology, morality","Moscow, Russia, Saint Petersburg"
11,190,Don Quixote,Miguel de Cervantes,1605,Spanish,Spanish,800-1000,500000,11,5321,"Allegorical, Fiction, Humor, Literary Fiction, Picaresque, Satire","Chivalry, Friendship, Heroism, Honor, Illusion, Knighthood, Madness, Parody, Social Critique, imagination, reality","La Mancha, Spain"
12,116,War and Peace,Leo Tolstoy,1869,Russian,Russian,1225-1500,587287,12,5261,"Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, epic, military fiction, philosophical","Despair, Fate, Identity, Love, Peace, Society, War, morality","Moscow, Russia, Saint Petersburg"
13,102,Pride and Prejudice,Jane Austen,1813,British,English,432,122189,13,5226,"Drama, Fiction, Literary Fiction, Regency, Romance, Victorian","Courtship, Family, Interpersonal relations, Love, Marriage, Prejudice, Pride, Reputation, Social status, Upper class, Wealth, class, relationships","England, Hertfordshire"
14,91,To Kill a Mockingbird,Harper Lee,1960,American,English,281-500,100388,14,5214,"Coming of age, Drama, Fiction, Literary Fiction, Social & Cultural Fiction","Courage, Empathy, Family, Justice, Moral Growth, Prejudice, Racism, Social Inequality, childhood","Alabama, Maycomb, Southern US, United States"
15,108,Wuthering Heights,Emily Brontë,1847,British,English,300-400,107945,15,5125,"Fiction, Gothic, Literary Fiction, Tragedy, Victorian","Death & Grief, Love, Madness, Revenge, Social Class, isolation","England, Fictional Location"
16,329,Crime and Punishment,Fyodor Dostoevsky,1866,Russian,Russian,430-600,211591,16,4931,"Crime, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction, philosophical","Alienation, Family, Guilt, Justice, Madness, Moral Dilemma, Poverty, Redemption, isolation","Russia, Saint Petersburg"
17,209,Madame Bovary,Gustave Flaubert,1857,French,French,300-450,117000,17,4650,"Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy, philosophical","Adultery, Boredom, Desire, Disillusionment, Illusion, Marriage, Materialism, Social Class","France, Normandy, Paris"
18,85,The Sound and the Fury,William Faulkner,1929,American,English,320,97000,18,4648,"Allegorical, Fiction, Literary Fiction, Modernist, Psychological, Social & Cultural Fiction, Tragedy","Death, Death & Grief, Family, Guilt, History, Loss, Memory, Mental illness, Southern Gothic, Time, class, race, stream of consciousness, tradition","Jefferson, Mississippi, United States"
19,322,The Stranger,Albert Camus,1942,French,French,100-200,35000,19,4616,"Absurdist, Existentialist, Fiction, Social & Cultural Fiction, philosophical","Alienation, Death & Grief, Existentialism, Identity, Indifference, Justice, Society","Algeria, Algiers"
20,215,The Brothers Karamazov,Fyodor Dostoevsky,1880,Russian,Russian,700-800,364000,20,4568,"Drama, Family & Relationships, Fiction, Literary Fiction, Psychological, philosophical","Existentialism, Faith, Family, Free will, Guilt, Justice, Redemption, morality",Russia
21,408,The Odyssey,Homer,-740,Greek,Ancient greek,300-500,120000,21,4503,"Adventure, Fiction, Mythological, Sailors & The Sea, epic","Deception, Family, Fate, Heroism, Hospitality, Identity, Journey, Loyalty, Revenge","Greece, Ithaca, Troy"
22,1156,The Bible,Unknown,-1400,Jewish,"Hebrew, aramaic, greek",1200-1600,783137,22,4368,"Mythological, Religion & Spirituality","Christianity, Covenant, Creation, Faith, Family, History, Hope, Law, Marriage, Middle East History, Prophecy, Redemption, Sacrifice, Salvation, Sin, Wisdom","Babylon, Egypt, Israel, Palestine"
23,135,Heart of Darkness,Joseph Conrad,1899,British,English,70-200,38000,23,4331,"Allegorical, Fiction, Literary Fiction, Psychological, Social & Cultural Fiction, philosophical","Alienation, Darkness, Identity, Imperialism, Madness, Power, colonialism, morality","Africa, Central Africa, Congo, Congo River"
24,36,The Grapes of Wrath,John Steinbeck,1939,American,English,464,169481,24,4311,"Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Community, Despair, Exploitation, Family, Family dynamics, Farm life, History, Hope, Injustice, Labor, Migration, Poverty, Survival, realism","California, Oklahoma, United States"
25,326,The Divine Comedy,Dante Alighieri,1308,Italian,Italian,300-500,100000,25,4244,"Fiction, Mythological, Poetry, Religion & Spirituality, epic, philosophical","Afterlife, Classical Studies, Divine Retribution, Faith, Justice, Redemption, Salvation, Sin, Virtue, human nature, morality",Fictional Location
26,211,Alice's Adventures in Wonderland,Lewis Carroll,1865,British,English,92-202,26429,26,4225,"Absurdist, Children's books, Fantasy, Fiction, Folklore & Fairy Tales, Speculative Fiction, Surreal","Animals, Childhood and youth, Dreams, Friendship, Juvenile, Nonsense, Transformation, childhood, curiosity, logic","England, Fictional Location"
27,258,The Trial,Franz Kafka,1925,Czech,German,200-300,80000,27,4184,"Absurdist, Allegorical, Fiction, Literary Fiction, Psychological, philosophical","Alienation, Bureaucracy, Existentialism, Guilt, Justice, Law, Paranoia, Power, oppression",Fictional Location
28,92,To the Lighthouse,Virginia Woolf,1927,British,English,200-300,70000,28,4134,"Allegorical, Fiction, Literary Fiction, Modernist, Psychological, philosophical","Death, Death & Grief, Family, Marriage, Memory, Nature, Time, childhood, gender, stream of consciousness","England, Isle of Skye, Scotland, United Kingdom"
29,410,Middlemarch,George Eliot,1871,British,English,700-900,310000,29,4126,"Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Victorian, philosophical","Ambition, Education, Family, Interpersonal relations, Love, Marriage, Medicine, Politics, Reform, Social Class, morality","England, Fictional Location, Money"
